id,title,category,authority,source_url,policy_page,local_path
mak-policy-0019,Awarding the title Professor Emeritus,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/POLICY_ON_AWARDING_THE_TITLE_PROFESSOR_EMERITUS.pdf,https://policies.mak.ac.ug/policy/awarding-title-professor-emeritus,knowledge/raw/mak-policies/human-resource-policies/POLICY_ON_AWARDING_THE_TITLE_PROFESSOR_EMERITUS.pdf
mak-policy-0020,Guidelines for the Appointment of Staff on Short-Term Contracts,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Guidelines-Short-Term-Contracts-July-2023.pdf,https://policies.mak.ac.ug/policy/guidelines-appointment-staff-short-term-contracts,knowledge/raw/mak-policies/human-resource-policies/Makerere-Guidelines-Short-Term-Contracts-July-2023.pdf
mak-policy-0021,Honorary Awards Guidelines,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE_UNIVERSITY_HONORARY_AWARDS_GUIDELINES.pdf,https://policies.mak.ac.ug/policy/honorary-awards-guidelines,knowledge/raw/mak-policies/human-resource-policies/MAKERERE_UNIVERSITY_HONORARY_AWARDS_GUIDELINES.pdf
mak-policy-0022,Makerere Guidelines Post-Retirement Contracts for Professors,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Guidelines-Awarding-Renewal-Post-Retirement-Contracts-Professors.pdf,https://policies.mak.ac.ug/policy/makerere-guidelines-post-retirement-contracts-professors,knowledge/raw/mak-policies/human-resource-policies/Makerere-Guidelines-Awarding-Renewal-Post-Retirement-Contracts-Professors.pdf
mak-policy-0023,Makerere University Biometric Attendance Gudelines and Procedures,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Biometric-Attendance-Management-System-Guidelines-Procedures.pdf,https://policies.mak.ac.ug/policy/makerere-university-biometric-attendance-gudelines-and-procedures,knowledge/raw/mak-policies/human-resource-policies/Makerere-Biometric-Attendance-Management-System-Guidelines-Procedures.pdf
mak-policy-0024,Makerere University Human Resources Manual 2009 (As Amended),human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Human-Resources-Manual-2009_As-Amended.pdf,https://policies.mak.ac.ug/policy/makerere-university-human-resources-manual-2009-amended,knowledge/raw/mak-policies/human-resource-policies/Makerere-University-Human-Resources-Manual-2009_As-Amended.pdf
mak-policy-0025,Policy on Appointment and Promotions of Academic Staff,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/POLICY%20_APPOINTMENT_%20AND%20_PROMOTION.pdf,https://policies.mak.ac.ug/policy/policy-appointment-and-promotions-academic-staff,knowledge/raw/mak-policies/human-resource-policies/POLICY_20_APPOINTMENT__20AND_20_PROMOTION.pdf
mak-policy-0026,Reviewed Policy on Promotion Tracks for Academic staff May 2014,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Reviewed-Policy-on-promotion-tracks-for-academic-staff-May-2014.pdf,https://policies.mak.ac.ug/policy/reviewed-policy-promotion-tracks-academic-staff-may-2014,knowledge/raw/mak-policies/human-resource-policies/Reviewed-Policy-on-promotion-tracks-for-academic-staff-May-2014.pdf
mak-policy-0027,Rules of Procedure of the Staff Appeals Tribunal,human-resource-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Staff-Appeals-Tribunal-Rules-of-Procedure-2023.pdf,https://policies.mak.ac.ug/policy/rules-procedure-staff-appeals-tribunal,knowledge/raw/mak-policies/human-resource-policies/Makerere-Staff-Appeals-Tribunal-Rules-of-Procedure-2023.pdf
mak-policy-0028,Acceptable use of ICT Resourses,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Acceptable_Use_of_ICT_Resources.pdf,https://policies.mak.ac.ug/policy/acceptable-use-ict-resourses,knowledge/raw/mak-policies/ict-policies/Acceptable_Use_of_ICT_Resources.pdf
mak-policy-0029,Data Security,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Data_Security_Policy.pdf,https://policies.mak.ac.ug/policy/data-security,knowledge/raw/mak-policies/ict-policies/Data_Security_Policy.pdf
mak-policy-0030,Directorate for ICT Support Strategic Plan 2020 - 2030,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-ICT-Strategic-Plan-2020-2030.pdf,https://policies.mak.ac.ug/policy/directorate-ict-support-strategic-plan-2020-2030,knowledge/raw/mak-policies/ict-policies/Makerere-University-ICT-Strategic-Plan-2020-2030.pdf
mak-policy-0031,Disposal of ICT Equipment and Electronic Waste Management,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Disposal_of_ICT_Equipment_policy_Electronic_Waste_Management.pdf,https://policies.mak.ac.ug/policy/disposal-ict-equipment-and-electronic-waste-management,knowledge/raw/mak-policies/ict-policies/Disposal_of_ICT_Equipment_policy_Electronic_Waste_Management.pdf
mak-policy-0032,ICT Policy and Master Plan 2010-2014 (Expired),ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/ICT_Policy_Master_Plan_2010_2014.pdf,https://policies.mak.ac.ug/policy/ict-policy-and-master-plan-2010-2014,knowledge/raw/mak-policies/ict-policies/ICT_Policy_Master_Plan_2010_2014.pdf
mak-policy-0033,Information and Communication Technology Policy (2016 - 2020) (Expired),ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/ICT%20POLICY%20%28APRIL%202016-2020%29.pdf,https://policies.mak.ac.ug/policy/information-and-communication-technology-policy-2016-2020,knowledge/raw/mak-policies/ict-policies/ICT_20POLICY_20_28APRIL_202016-2020_29.pdf
mak-policy-0034,The Makerere University Information and Communication Technology Policy Framework [Active/current policy],ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Information-and-Communication-Technology-Policy-Framework-March%202020.pdf,https://policies.mak.ac.ug/policy/makerere-university-information-and-communication-technology-policy-framework-activecurrent,knowledge/raw/mak-policies/ict-policies/Makerere-University-Information-and-Communication-Technology-Policy-Framework-March_202020.pdf
mak-policy-0035,"Masterplan for Makerere University Open, Distance & eLearning",ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Masterplan-Makerere-University-Open-Distance-E-learning-full.pdf,https://policies.mak.ac.ug/policy/masterplan-makerere-university-open-distance-elearning,knowledge/raw/mak-policies/ict-policies/Masterplan-Makerere-University-Open-Distance-E-learning-full.pdf
mak-policy-0036,Physical ICT Security Policy,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Physical_ICT_Security_Policy.pdf,https://policies.mak.ac.ug/policy/physical-ict-security-policy,knowledge/raw/mak-policies/ict-policies/Physical_ICT_Security_Policy.pdf
mak-policy-0037,Web Content Publishing,ict-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Web_Content_Publishing_Policy.pdf,https://policies.mak.ac.ug/policy/web-content-publishing,knowledge/raw/mak-policies/ict-policies/Web_Content_Publishing_Policy.pdf
mak-policy-0038,Communications Policy 2013,information-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Communications-Policy-March-2013.pdf,https://policies.mak.ac.ug/policy/communications-policy-2013,knowledge/raw/mak-policies/information-management-policies/Makerere-University-Communications-Policy-March-2013.pdf
mak-policy-0039,Makerere University Academic Records Management Policy,information-management-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Academic-Records-Management-Policy-Sept-2024.pdf,https://policies.mak.ac.ug/policy/makerere-university-academic-records-management-policy,knowledge/raw/mak-policies/information-management-policies/Makerere-Academic-Records-Management-Policy-Sept-2024.pdf
mak-policy-0040,Audit Manual,manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Audit%20Book.pdf,https://policies.mak.ac.ug/policy/audit-manual,knowledge/raw/mak-policies/manuals/Audit_20Book.pdf
mak-policy-0041,Finance Manual,manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Finance%20%20Manual.pdf,https://policies.mak.ac.ug/policy/finance-manual,knowledge/raw/mak-policies/manuals/Finance_20_20Manual.pdf
mak-policy-0042,Human Resource Manual (Amended 2026),manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/AMENDED-HUMAN-RESOURCES-MANUAL-2009.pdf,https://policies.mak.ac.ug/policy/human-resource-manual-amended-2026,knowledge/raw/mak-policies/manuals/AMENDED-HUMAN-RESOURCES-MANUAL-2009.pdf
mak-policy-0043,Makerere University Academic Policies Manual 2025,manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Academic-Policies-Manual-Revised-Version-2025.pdf,https://policies.mak.ac.ug/policy/makerere-university-academic-policies-manual-2025,knowledge/raw/mak-policies/manuals/Makerere-Academic-Policies-Manual-Revised-Version-2025.pdf
mak-policy-0044,Procurement Manual,manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Procurement%20%20Manual.pdf,https://policies.mak.ac.ug/policy/procurement-manual,knowledge/raw/mak-policies/manuals/Procurement_20_20Manual.pdf
mak-policy-0045,Research Manual,manuals,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Research%20Manual.pdf,https://policies.mak.ac.ug/policy/research-manual,knowledge/raw/mak-policies/manuals/Research_20Manual.pdf
mak-policy-0046,Intellectual Property Management (IPM) Policy,research-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Intellectual-Property-policy-2022.pdf,https://policies.mak.ac.ug/policy/intellectual-property-management-ipm-policy,knowledge/raw/mak-policies/research-policies/Intellectual-Property-policy-2022.pdf
mak-policy-0047,Policy on Establishment of Research Entities and Institutions,research-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Policy-on-Establishment-of-Research-Entities.pdf,https://policies.mak.ac.ug/policy/policy-establishment-research-entities-and-institutions,knowledge/raw/mak-policies/research-policies/Policy-on-Establishment-of-Research-Entities.pdf
mak-policy-0048,Research and Innovations Policy 2008,research-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE_UNIVERSITY_RESEARCH_POLICY_0.pdf,https://policies.mak.ac.ug/policy/research-and-innovations-policy-2008,knowledge/raw/mak-policies/research-policies/MAKERERE_UNIVERSITY_RESEARCH_POLICY_0.pdf
mak-policy-0049,University Research Agenda (2025/26-2029/30),research-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Mak-Research-Agenda-2025-2030.pdf,https://policies.mak.ac.ug/policy/university-research-agenda-202526-202930,knowledge/raw/mak-policies/research-policies/Mak-Research-Agenda-2025-2030.pdf
mak-policy-0050,Guild Constitution,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/GUILD%20CONSTITUTION%20NEW.pdf,https://policies.mak.ac.ug/policy/guild-constitution,knowledge/raw/mak-policies/student-affairs-policies/GUILD_20CONSTITUTION_20NEW.pdf
mak-policy-0051,Mak Students Guild Statute 2022,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Mak-Students-Guild-Statute-2022.pdf,https://policies.mak.ac.ug/policy/mak-students-guild-statute-2022,knowledge/raw/mak-policies/student-affairs-policies/Mak-Students-Guild-Statute-2022.pdf
mak-policy-0052,Makerere Career Guidance and Mentorship Policy,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE-MENTORSHIP-POLICY-JUNE-2025.pdf,https://policies.mak.ac.ug/policy/makerere-career-guidance-and-mentorship-policy,knowledge/raw/mak-policies/student-affairs-policies/MAKERERE-MENTORSHIP-POLICY-JUNE-2025.pdf
mak-policy-0053,Makerere Students Regulations,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Students-Regulations-2015.pdf,https://policies.mak.ac.ug/policy/makerere-students-regulations,knowledge/raw/mak-policies/student-affairs-policies/Makerere-University-Students-Regulations-2015.pdf
mak-policy-0054,Makerere University Policy on Students' Accommodation,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Students-Accommodation-Policy.pdf,https://policies.mak.ac.ug/policy/makerere-university-policy-students-accommodation,knowledge/raw/mak-policies/student-affairs-policies/Makerere-Students-Accommodation-Policy.pdf
mak-policy-0055,Policy for Makerere University Student Work Scheme,student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-University-Student-Work-Scheme-Policy.pdf,https://policies.mak.ac.ug/policy/policy-makerere-university-student-work-scheme,knowledge/raw/mak-policies/student-affairs-policies/Makerere-University-Student-Work-Scheme-Policy.pdf
mak-policy-0056,Rules on Examination Malpractice and Irregularities (Students),student-affairs-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Approved-Amended-Rules-on-Examination-Malpractices-and-Irregularities-March-2019.pdf,https://policies.mak.ac.ug/policy/rules-examination-malpractice-and-irregularities-students,knowledge/raw/mak-policies/student-affairs-policies/Approved-Amended-Rules-on-Examination-Malpractices-and-Irregularities-March-2019.pdf
mak-policy-0057,Guidelines for Field Attachment,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/GUIDELINES_FOR_FIELD_ATTACHMENT.pdf,https://policies.mak.ac.ug/policy/guidelines-field-attachment,knowledge/raw/mak-policies/teaching-and-learning-policies/GUIDELINES_FOR_FIELD_ATTACHMENT.pdf
mak-policy-0058,Joint Awards between Makerere University,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Policy_on_Joint_Awards_between_Makerere_University.pdf,https://policies.mak.ac.ug/policy/joint-awards-between-makerere-university,knowledge/raw/mak-policies/teaching-and-learning-policies/Policy_on_Joint_Awards_between_Makerere_University.pdf
mak-policy-0059,Makerere University Intellectual Property Management Policy,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Intellectual-Property-Management-Policy-2024.pdf,https://policies.mak.ac.ug/policy/makerere-university-intellectual-property-management-policy,knowledge/raw/mak-policies/teaching-and-learning-policies/Intellectual-Property-Management-Policy-2024.pdf
mak-policy-0060,Makerere University Revised Semester/Credit System for Undergraduates,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Revised-Regulations-Semester-Credit-for-Undergraduates.pdf,https://policies.mak.ac.ug/policy/makerere-university-revised-semestercredit-system-undergraduates,knowledge/raw/mak-policies/teaching-and-learning-policies/Makerere-Revised-Regulations-Semester-Credit-for-Undergraduates.pdf
mak-policy-0061,Makerere University Teaching and Learning Policy,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Makerere-Teaching-and-Learning-Policy-Sept-2024.pdf,https://policies.mak.ac.ug/policy/makerere-university-teaching-and-learning-policy,knowledge/raw/mak-policies/teaching-and-learning-policies/Makerere-Teaching-and-Learning-Policy-Sept-2024.pdf
mak-policy-0062,Open Distance and eLearning Policy,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Open-Distance-eLearning-Policy.pdf,https://policies.mak.ac.ug/policy/open-distance-and-elearning-policy,knowledge/raw/mak-policies/teaching-and-learning-policies/Open-Distance-eLearning-Policy.pdf
mak-policy-0063,Remarking Students work and retention of scripts,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Policy_on_remarking_students_work_and_retention_of_scripts.pdf,https://policies.mak.ac.ug/policy/remarking-students-work-and-retention-scripts,knowledge/raw/mak-policies/teaching-and-learning-policies/Policy_on_remarking_students_work_and_retention_of_scripts.pdf
mak-policy-0064,Research and Innovation,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/MAKERERE_UNIVERSITY_RESEARCH_POLICY.pdf,https://policies.mak.ac.ug/policy/research-and-innovation,knowledge/raw/mak-policies/teaching-and-learning-policies/MAKERERE_UNIVERSITY_RESEARCH_POLICY.pdf
mak-policy-0065,Roles and responsibilities for External Examiners,teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/ROLES_AND_RESPONSIBILITIES_FOR%20EXTERNAL_EXAMINERS.pdf,https://policies.mak.ac.ug/policy/roles-and-responsibilities-external-examiners,knowledge/raw/mak-policies/teaching-and-learning-policies/ROLES_AND_RESPONSIBILITIES_FOR_20EXTERNAL_EXAMINERS.pdf
mak-policy-0066,Rules concerning Examination Malpractices (Staff),teaching-and-learning-policies,Makerere University,https://policies.mak.ac.ug/sites/default/files/policies/Rules_concerning_Examination_Malpractices_staff.pdf,https://policies.mak.ac.ug/policy/rules-concerning-examination-malpractices-staff,knowledge/raw/mak-policies/teaching-and-learning-policies/Rules_concerning_Examination_Malpractices_staff.pdf
